run_id,config_hash,seed,arm,extinction_count,emergence_count,species_alive_at_end,total_turnover,last_event_tick,freeze_classification,rescue_count
1,2c347528c07669a4997cf293a4d21d85da486bf870b35f9f0a83eb22fa05ecf2,4,evolving_floor_0.002,166,167,1,333,39460,censored_active,0
2,7b0d96ba83cfd23d1fb2c4da0c29bd5947f0e13a4491d33e0c63e5580c0155ff,1,evolving_floor_0.001,421,422,1,843,31820,observed_freeze,0
3,9ce72eea2bf5d3fbde923c6f8343f3b70c31021fee53342cc1aec0ed4049f374,5,evolving_floor_0.002,285,286,1,571,17380,observed_freeze,0
4,23531a52c1aee63aea5ccaf0e3d5777792395d22ecc7e70da42727054cf6466f,2,evolving_floor_0.001,92,93,1,185,26950,observed_freeze,0
5,9905d7803a21cfd74e845e96256983ed79aa99ad2ed22d06d4d6e13194400f92,6,evolving_floor_0.002,493,495,2,988,39920,censored_active,0
6,9fb28710e94e26846ff44d2c26fdf78b789e75d086247763afa693d8399f9ec2,7,evolving_floor_0.002,49,50,1,99,9370,observed_freeze,0
7,636198ba62e2c1833958aceadf3f1ede37d66d25150fc323a82d76989ed9441f,3,evolving_floor_0.001,319,320,1,639,38950,censored_active,0
8,56eab71845bb1b478e014b1b5842a47632b59a36765b09f67926a153abe8fb36,8,evolving_floor_0.002,148,149,1,297,36510,censored_active,0
9,60bc91bbe7f1260e09aed1e8ee36dfb925d56f05b5fd30e0c3ef9cf364c5a7ac,4,evolving_floor_0.001,259,260,1,519,37430,censored_active,0
10,e2d1228ebeb029c21cb018268f9e0f7e3a386cee655745135f9e0a780521abae,9,evolving_floor_0.002,403,406,3,809,39980,censored_active,0
11,dc5a9d36aeff4966683fcdbdf8c974a82a0869f9a5cfbea81f051044094dc73a,5,evolving_floor_0.001,158,159,1,317,12290,observed_freeze,0
12,9fe0c18c763cf82046c744befdeb4c068a8da62296cc40ed2edca12d6ded6bb7,10,evolving_floor_0.002,327,328,1,655,37890,censored_active,0
13,bbca6e3667a8857fc949106eb83f39b6c32c2d305cd8c03ff875e14ce8d66f1c,6,evolving_floor_0.001,291,292,1,583,22800,observed_freeze,0
14,257c4d28b13a4b8360c6255fec23b739967b4dc67f6a0c058cb9d13683c0d383,1,evolving_floor_0.004,170,171,1,341,37700,censored_active,0
15,652e121288ec52eed012a79735d596d21d335b1e78cafce249cb822ce4dd57d9,7,evolving_floor_0.001,279,280,1,559,35320,censored_active,0
16,d1b4f3b8d9a8d8c9d888c9f1f8b53aa1df7c2172529f78a6396ad08907f62940,8,evolving_floor_0.001,88,89,1,177,10130,observed_freeze,0
17,8f69ed32787ddb1993aa586c989db80ba884f7afbfd2388a376fff79e1f0089d,2,evolving_floor_0.004,316,319,3,635,39990,censored_active,0
